system,isomer,tot_en,n_atoms,rel_en_per_atom,Cu_Count,Zn_Count,Global_ECN_Avg,Global_ECN_Var,Cu_ECN_Avg,Cu_ECN_Var,Zn_ECN_Avg,Zn_ECN_Var,I_A,I_B,I_C,NPR1,NPR2,Asymmetry_Parameter,Core_Bond_Variance,S_sigma_Measure,Has_Anomaly,has_Cps,has_Mes,Mes_Centroid_Dist_Mean,Mes_Nearest_Core_Dist_Mean,has_CO2,CO2_Centroid_Dist_Mean,CO2_Nearest_Core_Dist_Mean,has_CpsCO2,CpsCO2_Centroid_Dist_Mean,CpsCO2_Nearest_Core_Dist_Mean,has_HCO2,HCO2_Centroid_Dist_Mean,HCO2_Nearest_Core_Dist_Mean,has_Cp,Cp_Centroid_Dist_Mean,Cp_Nearest_Core_Dist_Mean,has_Hex,Hex_Centroid_Dist_Mean,Hex_Nearest_Core_Dist_Mean,has_MesCO2,MesCO2_Centroid_Dist_Mean,MesCO2_Nearest_Core_Dist_Mean,has_H,H_Centroid_Dist_Mean,H_Nearest_Core_Dist_Mean,Cps_R2_mean,Cps_R3_mean,Mes_R2_mean,Mes_R3_mean,CO2_R2_mean,CO2_R3_mean,CpsCO2_R2_mean,CpsCO2_R3_mean,HCO2_R2_mean,HCO2_R3_mean,Cp_R2_mean,Cp_R3_mean,Hex_R2_mean,Hex_R3_mean,MesCO2_R2_mean,MesCO2_R3_mean,H_R2_mean,H_R3_mean,rel_en_absolute,z_score_energy,Mean_Dist_Cps_to_Nearest_Cu,Mean_Dist_Cps_to_Nearest_Zn,Mean_Dist_Mes_to_Nearest_Cu,Mean_Dist_Mes_to_Nearest_Zn,Cu_mu,Cu_rel_s_center,Cu_s_elec,Cu_var_s,Cu_rel_p_center,Cu_p_elec,Cu_var_p,Cu_rel_d_center,Cu_d_elec,Cu_var_d,Zn_mu,Zn_rel_s_center,Zn_s_elec,Zn_var_s,Zn_rel_p_center,Zn_p_elec,Zn_var_p,Zn_rel_d_center,Zn_d_elec,Zn_var_d,total_core_charge,Cu_mean_q,Cu_var_q,Cu_max_q,Cu_min_q,Cu_delta_q,Zn_mean_q,Zn_var_q,Zn_max_q,Zn_min_q,Zn_delta_q,homo,lumo,gap
1,25,-66468.23705838,51,0.0002710298040434,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0.0138225200062152,1.8345321915423665,2.0945183244514163,,,,-3.357353,-2.783624652359008,0.2363261267438551,0.0,-2.4385800676325893,0.1857339901647799,0.0,-1.4036855527065395,1.3994553184014735,0.0,,,,,,,,,,,0.3379333,0.3379333,0.0,0.3379333,0.3379333,0.0,,,,,,-3.62290769,-3.09179843,0.53110926
1,02,-66468.2386025,51,0.0002407529411321,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0.01227839999774,1.5211444342338565,2.086145790851868,,,,-3.347312,-2.8239324886140484,0.235434092273883,0.0,-2.466560618568615,0.1872101561695852,0.0,-1.4520773658437238,1.4010632632928302,0.0,,,,,,,,,,,0.34076562,0.34076562,0.0,0.34076562,0.34076562,0.0,,,,,,-3.61265181,-3.08197164,0.5306801700000001
1,26,-66468.24143099,51,0.0001852923528263,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0.0094499099941458,0.94708663177634,2.0956364553488704,,,,-3.362036,-2.781490547609329,0.2356718828892119,0.0,-2.432804611255798,0.1861340751392535,0.0,-1.4017499897354684,1.4015669582630843,0.0,,,,,,,,,,,0.33813759,0.33813759,0.0,0.33813759,0.33813759,0.0,,,,,,-3.62800349,-3.09606768,0.5319358100000002
1,12,-66468.24434577,51,0.000128139803921,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0.0065351299999747,0.3555157950490477,2.101722563498745,,,,-3.364861,-2.7770034297383908,0.2354953047957569,0.0,-2.438424333486077,0.185833142040786,0.0,-1.3848108587513166,1.4027606091142553,0.0,,,,,,,,,,,0.33730709,0.33730709,0.0,0.33730709,0.33730709,0.0,,,,,,-3.63102751,-3.0986943,0.53233321
1,30,-66468.24802328,51,5.603176467440219e-05,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0.0028576199983945,-0.3908553455030066,2.10117383752198,,,,-3.366649,-2.7739776975111594,0.2361359861462819,0.0,-2.431103140366739,0.1857797971900757,0.0,-1.3775312332143974,1.4015623805659068,0.0,,,,,,,,,,,0.3368369,0.3368369,0.0,0.3368369,0.3368369,0.0,,,,,,-3.63099222,-3.10230518,0.5286870399999999
1,23,-66468.24878753,51,4.104647058400088e-05,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0.002093369999784,-0.5459641400092602,2.101584794846869,,,,-3.358504,-2.780996142543154,0.236201719941979,0.0,-2.434301406799591,0.1857500056865432,0.0,-1.3967503260170444,1.3983038294837822,0.0,,,,,,,,,,,0.336572,0.336572,0.0,0.336572,0.336572,0.0,,,,,,-3.62305166,-3.09395592,0.5290957399999998
1,29,-66468.24906246,51,3.5655686195811954e-05,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0.0018184399959864,-0.6017627157896788,2.095309647119505,,,,-3.355477,-2.800809244696142,0.2357211951186558,0.0,-2.4497660649701145,0.1863660448164848,0.0,-1.4085851632892603,1.401376025885395,0.0,,,,,,,,,,,0.33872461,0.33872461,0.0,0.33872461,0.33872461,0.0,,,,,,-3.61869433,-3.09225883,0.5264354999999998
1,22,-66468.24951339,51,2.681392167384426e-05,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0.001367510005366,-0.6932814693114417,2.1015327343112107,,,,-3.360647,-2.786181624400625,0.235682920339995,0.0,-2.438804432410514,0.1863375994257827,0.0,-1.391589972430661,1.399214622055075,0.0,,,,,,,,,,,0.33787406,0.33787406,0.0,0.33787406,0.33787406,0.0,,,,,,-3.62291947,-3.09837481,0.5245446599999997
1,16,-66468.24953681,51,2.6354705743656e-05,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0.0013440899929264,-0.698034691298269,2.0974264516544383,,,,-3.355661,-2.7979291822336223,0.2360873147008571,0.0,-2.443270239797556,0.1863916505316382,0.0,-1.404126780831659,1.3987125293669007,0.0,,,,,,,,,,,0.33793815,0.33793815,0.0,0.33793815,0.33793815,0.0,,,,,,-3.61784085,-3.09348186,0.5243589900000001
1,03,-66468.24983008,51,2.0604313570348657e-05,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0.0010508199920877,-0.7575554716419274,2.091575564467325,,,,-3.354391,-2.803414797152127,0.2362305454358974,0.0,-2.446795283249123,0.1865112538910835,0.0,-1.414848930004458,1.4009825176334507,0.0,,,,,,,,,,,0.33902713,0.33902713,0.0,0.33902713,0.33902713,0.0,,,,,,-3.61809443,-3.09068724,0.5274071900000004
